,edades,genero,salarios,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaños_empresa,lenguaje_programacion
1772,18-29,Hombre,No sabe/No contesta,China,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,Python
1773,30-44,Hombre,medio,China,Prefiero no responder,Business Analyst,20+ years,ONG/Servicio,Startup,"Python, SQL, C, C++, Java"
1774,30-44,Hombre,bajo,Peru,Grado Universitario,Data Analyst,3-5 years,ONG/Servicio,Pequeña,"Python, R, SQL"
1775,30-44,Hombre,medio,Peru,Master,Data Analyst,< 1 years,Médico/farmacéutico,Grande,"Python, SQL"
1776,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, SQL, C"
1777,30-44,Hombre,medio,India,Master,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
1778,30-44,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,10-20 years,ONG/Servicio,Startup,"Python, R, SQL, C, C++, MATLAB"
1779,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, R"
1780,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado Universitario,Data Analyst,< 1 years,Ventas al por menor,Pequeña, None
1781,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Académico/Educación,Grande,"Python, MATLAB"
1782,30-44,Hombre,bajo,Ucrania,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, R, SQL"
1783,18-29,Hombre,No sabe/No contesta,Turquia,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Startup," R, SQL"
1784,18-29,Hombre,bajo,India,Master,Data Analyst,1-3 years,Marketing/CRM,Pequeña,"Python, SQL, Bash"
1785,30-44,Mujes,medio,Israel,Grado Universitario,Business Analyst,< 1 years,Seguro/Evaluación de Riesgos,Pequeña,"Python, SQL"
1786,18-29,Hombre,bajo,Corea del Sur,Master,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Mediana,Python
1787,30-44,Hombre,alto,Estados Unidos,Master,Business Analyst,5-10 years,Contabilidad/Finanzas,Multinacional," R, SQL"
1788,18-29,Hombre,bajo,India,Master,Business Analyst,1-3 years,Fabricación,Multinacional,Python
1789,18-29,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
1790,30-44,Hombre,alto,Australia,Grado Universitario,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
1791,30-44,Prefiero no decirlo,No sabe/No contesta,Estados Unidos,Master,Data Analyst,3-5 years,Fabricación,Mediana,"Python, R, SQL, Bash"
1792,30-44,Mujes,bajo,Egipto,Master,Business Analyst,I have never written code,Marketing/CRM,Pequeña,No sabe/No contesta
1793,45-59,Hombre,medio,India,Doctorado,Business Analyst,3-5 years,Envío/Transporte,Grande," R, C"
1794,30-44,Hombre,No sabe/No contesta,Indonesia,Master,Data Analyst,< 1 years,Académico/Educación,Pequeña," SQL, Javascript, MATLAB"
1795,60-70+,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,5-10 years,Otros,Pequeña,"Python, R, SQL"
1796,18-29,Hombre,No sabe/No contesta,China,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, MATLAB"
1797,18-29,Mujes,medio,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Ventas al por menor,Grande,"Python, R"
1798,60-70+,Mujes,No sabe/No contesta,Estados Unidos,Grado Universitario,Business Analyst,20+ years,Fabricación,Grande," SQL, Javascript, Other"
1799,30-44,Hombre,bajo,Estados Unidos,Doctorado,Data Analyst,1-3 years,Académico/Educación,Startup, R
1800,18-29,Hombre,bajo,India,Master,Business Analyst,< 1 years,Fabricación,Multinacional,"Python, R, SQL"
1801,30-44,Hombre,bajo,Japon,Master,Data Analyst,< 1 years,Fabricación,Grande," C, Bash"
1802,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Business Analyst,3-5 years,Otros,Multinacional,Python
1803,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional,"Python, R, SQL"
1804,18-29,Hombre,bajo,Otros,Grado Universitario,Business Analyst,5-10 years,Contabilidad/Finanzas,Grande, Other
1805,30-44,Hombre,No sabe/No contesta,Otros,Grado Universitario,Data Analyst,3-5 years,Envío/Transporte,Grande,"Python, SQL"
1806,60-70+,Hombre,bajo,Malasia,Master,Business Analyst,10-20 years,Tecnológico,Startup,"Python, SQL, C++"
1807,18-29,Hombre,bajo,Kenia,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,Mediana,Python
1808,18-29,Mujes,No sabe/No contesta,Brasil,Master,Data Analyst,3-5 years,Seguro/Evaluación de Riesgos,Grande,"Python, R, SQL, Other"
1809,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, SQL, C"
1810,18-29,Mujes,bajo,China,Master,Data Analyst,< 1 years,Académico/Educación,Mediana,"Python, SQL, C"
1811,30-44,Hombre,bajo,Nigeria,Estudios Univertarios sin licenciatura,Data Analyst,I have never written code,Fabricación,Mediana,No sabe/No contesta
1812,30-44,Hombre,alto,India,Master,Data Analyst,< 1 years,Energía/Minería,Multinacional,"Python, SQL, Other"
1813,30-44,Hombre,alto,Estados Unidos,Master,Business Analyst,20+ years,Gobierno/servicio público,Multinacional,"Python, R, SQL, C, C++, Java, Javascript, Julia, Swift, Bash, MATLAB"
1814,18-29,Mujes,bajo,Brasil,Grado Universitario,Data Analyst,5-10 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
1815,18-29,Hombre,No sabe/No contesta,Otros,Prefiero no responder,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,Python
1816,18-29,Hombre,bajo,Otros,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, MATLAB"
1817,45-59,Hombre,bajo,Japon,Grado Universitario,Data Analyst,I have never written code,Contabilidad/Finanzas,Startup,No sabe/No contesta
1818,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,5-10 years,Hostelería/Entretenimiento/Deportes,Pequeña,"Python, R, SQL"
1819,18-29,Hombre,bajo,India,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Mediana,"Python, SQL"
1820,30-44,Hombre,bajo,Arabia Saudi,Grado Universitario,Data Analyst,5-10 years,Académico/Educación,Multinacional,"Python, SQL"
1821,18-29,Mujes,bajo,Israel,Grado Universitario,Business Analyst,< 1 years,Académico/Educación,Startup, SQL
1822,18-29,Hombre,alto,Japon,Master,Data Analyst,1-3 years,Marketing/CRM,Grande,"Python, SQL"
1823,30-44,Hombre,bajo,Alemania,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, SQL"
1824,30-44,Mujes,bajo,India,Master,Data Analyst,5-10 years,Tecnológico,Pequeña,"Python, R, SQL, C, C++"
1825,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,ONG/Servicio,Multinacional,Python
1826,18-29,Hombre,No sabe/No contesta,Taiwan,Master,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, C++, Javascript, MATLAB"
1827,18-29,Hombre,bajo,India,Master,Business Analyst,3-5 years,Energía/Minería,Multinacional,"Python, R"
1828,45-59,Hombre,alto,Estados Unidos,Grado Universitario,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, Java"
1829,30-44,Hombre,alto,Taiwan,Master,Data Analyst,1-3 years,Académico/Educación,Startup,Python
1830,30-44,Hombre,medio,Estados Unidos,Master,Business Analyst,3-5 years,Académico/Educación,Startup," R, Other"
1831,30-44,Hombre,alto,Irlanda,Estudios Univertarios sin licenciatura,Data Analyst,10-20 years,Radio/Comunicaciones,Grande,"Python, SQL"
1832,18-29,Hombre,bajo,India,Doctorado,Data Analyst,< 1 years,Académico/Educación,Startup," R, MATLAB"
1833,45-59,Hombre,alto,Irlanda,Grado Universitario,Business Analyst,10-20 years,Seguro/Evaluación de Riesgos,Mediana," SQL, Java, Other"
1834,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Doctorado,Data Analyst,20+ years,,No sabe/No contesta,"Python, SQL"
1835,18-29,Mujes,alto,Estados Unidos,Grado Universitario,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional," R, SQL, Other"
1836,30-44,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Data Analyst,I have never written code,Ventas al por menor,Startup,No sabe/No contesta
1837,18-29,Hombre,alto,Singapur,Master,Business Analyst,1-3 years,Otros,Multinacional,"Python, MATLAB"
1838,45-59,Hombre,alto,Australia,Master,Data Analyst,10-20 years,Seguro/Evaluación de Riesgos,Startup,"Python, R, SQL, Java, Other"
1839,18-29,Mujes,alto,Estados Unidos,Master,Data Analyst,3-5 years,Tecnológico,Pequeña,"Python, SQL"
1840,30-44,Hombre,medio,China,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
1841,60-70+,Hombre,alto,Estados Unidos,Master,Data Analyst,20+ years,Académico/Educación,Grande,"Python, SQL, Other"
1842,45-59,Hombre,No sabe/No contesta,Australia,Master,Data Analyst,1-3 years,Gobierno/servicio público,Startup,"Python, Bash"
1843,30-44,Mujes,alto,Estados Unidos,Master,Data Analyst,3-5 years,Gobierno/servicio público,Multinacional,Python
1844,30-44,Hombre,bajo,Otros,Master,Data Analyst,3-5 years,Fabricación,Pequeña,"Python, R, SQL"
1845,30-44,Hombre,bajo,China,Prefiero no responder,Data Analyst,< 1 years,Tecnológico,Startup,"Python, Java, Javascript"
1846,30-44,Hombre,No sabe/No contesta,Australia,Grado Universitario,Data Analyst,20+ years,Seguro/Evaluación de Riesgos,Pequeña," SQL, Other"
1847,18-29,Hombre,No sabe/No contesta,China,Grado Universitario,Business Analyst,1-3 years,Académico/Educación,Startup,"Python, C, C++, MATLAB"
1848,18-29,Mujes,No sabe/No contesta,Egipto,Grado Universitario,Business Analyst,< 1 years,Contabilidad/Finanzas,No sabe/No contesta, Javascript
1849,30-44,Hombre,medio,Chile,Grado Universitario,Data Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, R, SQL, Bash, Other"
1850,18-29,Mujes,No sabe/No contesta,China,Master,Data Analyst,< 1 years,Tecnológico,Pequeña,"Python, SQL"
1851,30-44,Hombre,alto,Canada,Grado Universitario,Business Analyst,1-3 years,Fabricación,Mediana, SQL
1852,30-44,Mujes,alto,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional,"Python, SQL, Bash"
1853,45-59,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,,No sabe/No contesta,"Python, R, SQL"
1854,30-44,Mujes,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Energía/Minería,Grande,Python
1855,30-44,Hombre,bajo,Hong Kong (S.A.R.),Grado Universitario,Data Analyst,3-5 years,Médico/farmacéutico,Multinacional,"Python, SQL"
1856,18-29,Hombre,No sabe/No contesta,Nigeria,Grado Universitario,Business Analyst,< 1 years,Académico/Educación,Startup,"Python, SQL"
1857,18-29,Mujes,medio,Polonia,Grado Universitario,Data Analyst,1-3 years,ONG/Servicio,Multinacional,"Python, R, SQL"
1858,18-29,Hombre,bajo,Brasil,Estudios Univertarios sin licenciatura,Business Analyst,3-5 years,Fabricación,Grande,"Python, SQL"
1859,18-29,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Multinacional," R, SQL"
1860,30-44,Hombre,bajo,India,Grado Universitario,Business Analyst,< 1 years,Envío/Transporte,Startup,"Python, R, SQL"
1861,30-44,Hombre,alto,Reino Unido,Estudios Univertarios sin licenciatura,Business Analyst,I have never written code,Gobierno/servicio público,Mediana,No sabe/No contesta
1862,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,5-10 years,Otros,Startup,"Python, SQL, Other"
1863,18-29,Mujes,medio,Pakistan,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, C++"
1864,45-59,Mujes,alto,Estados Unidos,Master,Data Analyst,I have never written code,Fabricación,Multinacional,No sabe/No contesta
1865,30-44,Mujes,medio,Otros,Grado Universitario,Business Analyst,< 1 years,Gobierno/servicio público,Startup, R
1866,30-44,Hombre,bajo,Rusia,Doctorado Profesional,Data Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
1867,18-29,Hombre,bajo,India,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, R"
1868,30-44,Hombre,No sabe/No contesta,Italia,Master,Data Analyst,1-3 years,,No sabe/No contesta,Python
1869,30-44,Hombre,medio,Polonia,Master,Data Analyst,I have never written code,Ventas al por menor,Grande,No sabe/No contesta
1870,30-44,Hombre,medio,India,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Multinacional,"Python, SQL, Other"
1871,18-29,Hombre,bajo,China,Grado Universitario,Data Analyst,1-3 years,Marketing/CRM,Mediana,"Python, SQL, C"
1872,30-44,Mujes,medio,Otros,Master,Business Analyst,< 1 years,Energía/Minería,Grande," C, C++, MATLAB"
1873,30-44,Hombre,bajo,Dinamarca,Master,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, R, SQL"
1874,18-29,Hombre,bajo,Filipinas,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Grande,"Python, SQL"
1875,60-70+,Hombre,bajo,Estados Unidos,Doctorado,Data Analyst,3-5 years,Fabricación,Startup, None
1876,30-44,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Médico/farmacéutico,Mediana,"Python, SQL"
1877,18-29,Hombre,No sabe/No contesta,Bangladesh,Grado Universitario,Data Analyst,1-3 years,Académico/Educación,Startup,Python
1878,18-29,Mujes,bajo,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, R, SQL, C, C++"
1879,30-44,Mujes,No sabe/No contesta,Otros,Grado Universitario,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,"Python, SQL"
1880,18-29,Hombre,bajo,India,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
1881,30-44,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Otros,Grande,Python
1882,18-29,Hombre,bajo,India,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Pequeña,Python
1883,18-29,Hombre,alto,Estados Unidos,Master,Data Analyst,3-5 years,Otros,Startup,"Python, R, SQL"
1884,45-59,Mujes,alto,Reino Unido,Estudios Univertarios sin licenciatura,Data Analyst,20+ years,Otros,Mediana," R, SQL"
1885,45-59,Mujes,bajo,Canada,Master,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Pequeña, SQL
1886,30-44,Hombre,alto,India,Master,Business Analyst,10-20 years,Tecnológico,Multinacional," C, C++"
1887,30-44,Hombre,No sabe/No contesta,Egipto,Grado Universitario,Data Analyst,< 1 years,Energía/Minería,Startup,Python
1888,45-59,Hombre,alto,Estados Unidos,Bachillerato,Data Analyst,3-5 years,Radio/Comunicaciones,Grande,"Python, SQL"
1889,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Tecnológico,Startup,Python
1890,18-29,Hombre,No sabe/No contesta,Alemania,Master,Data Analyst,1-3 years,Tecnológico,Startup,"Python, R, SQL"
1891,30-44,Hombre,bajo,India,Master,Data Analyst,3-5 years,Contabilidad/Finanzas,Pequeña,"Python, SQL, C, C++"
1892,18-29,Hombre,alto,Estados Unidos,Master,Business Analyst,5-10 years,Otros,Multinacional,Python
1893,18-29,Hombre,No sabe/No contesta,Estados Unidos,Grado Universitario,Business Analyst,< 1 years,Académico/Educación,Mediana,"Python, SQL, Other"
1894,18-29,Mujes,bajo,Arabia Saudi,Doctorado,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, R, SQL, C++, Java, Javascript, MATLAB"
1895,30-44,Hombre,bajo,Tunez,Doctorado,Data Analyst,3-5 years,Académico/Educación,Pequeña,"Python, R, SQL, MATLAB"
1896,18-29,Hombre,medio,China,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
1897,30-44,Mujes,medio,Estados Unidos,Master,Data Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
1898,30-44,Hombre,alto,Singapur,Grado Universitario,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, C, Java, Bash"
1899,45-59,Hombre,alto,Otros,Doctorado,Business Analyst,5-10 years,Energía/Minería,Pequeña,"Python, MATLAB"
1900,18-29,Mujes,bajo,Estados Unidos,Master,Data Analyst,I have never written code,Radio/Comunicaciones,Multinacional,No sabe/No contesta
1901,60-70+,Mujes,No sabe/No contesta,Estados Unidos,Grado Universitario,Data Analyst,5-10 years,Radio/Comunicaciones,Pequeña," R, SQL"
1902,30-44,Hombre,No sabe/No contesta,Argentina,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Fabricación,Pequeña,Python
1903,45-59,Hombre,bajo,España,Bachillerato,Business Analyst,< 1 years,Otros,Startup,Python
1904,18-29,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,Académico/Educación,Startup, SQL
1905,30-44,Hombre,alto,Estados Unidos,Grado Universitario,Data Analyst,I have never written code,Tecnológico,Grande,No sabe/No contesta
1906,18-29,Hombre,alto,Canada,Estudios Univertarios sin licenciatura,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup," R, SQL"
1907,30-44,Mujes,bajo,Colombia,Master,Data Analyst,5-10 years,Energía/Minería,Multinacional,"Python, R, Other"
1908,30-44,Hombre,No sabe/No contesta,Kenia,Grado Universitario,Data Analyst,I have never written code,ONG/Servicio,Mediana,No sabe/No contesta
1909,30-44,Mujes,alto,Estados Unidos,Master,Data Analyst,< 1 years,Médico/farmacéutico,Pequeña,"Python, R, SQL"
1910,45-59,Mujes,alto,Francia,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Grande, SQL
1911,18-29,Hombre,No sabe/No contesta,India,Doctorado,Business Analyst,< 1 years,,No sabe/No contesta,"Python, SQL, Java"
1912,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional,"Python, SQL"
1913,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, C"
1914,30-44,Hombre,No sabe/No contesta,Estados Unidos,Doctorado,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, MATLAB"
1915,18-29,Hombre,bajo,India,Grado Universitario,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, R, SQL"
1916,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Business Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Startup,Python
1917,18-29,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,1-3 years,Envío/Transporte,Multinacional,"Python, SQL, MATLAB"
1918,18-29,Hombre,medio,Brasil,Estudios Univertarios sin licenciatura,Data Analyst,5-10 years,Tecnológico,Grande,"Python, SQL"
1919,30-44,Hombre,medio,Brasil,Master,Data Analyst,1-3 years,Gobierno/servicio público,Mediana,"Python, R"
1920,18-29,Mujes,No sabe/No contesta,Nigeria,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL"
1921,18-29,Hombre,alto,India,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
1922,30-44,Hombre,medio,Mexico,Master,Data Analyst,1-3 years,Tecnológico,Startup,"Python, R, SQL"
1923,45-59,Hombre,medio,Portugal,Doctorado,Business Analyst,< 1 years,Contabilidad/Finanzas,Startup, R
1924,30-44,Hombre,No sabe/No contesta,Estados Unidos,Master,Business Analyst,3-5 years,,No sabe/No contesta, None
1925,30-44,Hombre,medio,Otros,Master,Data Analyst,5-10 years,Gobierno/servicio público,Pequeña," R, SQL"
1926,18-29,Hombre,bajo,Bangladesh,Grado Universitario,Business Analyst,3-5 years,Académico/Educación,Pequeña, Swift
1927,30-44,Hombre,medio,Italia,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
1928,45-59,Hombre,alto,Reino Unido,Grado Universitario,Business Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, SQL"
1929,60-70+,Hombre,No sabe/No contesta,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,20+ years,,No sabe/No contesta,"Python, R, SQL, C, C++, Java, Javascript, Julia, Swift, Bash, MATLAB"
1930,18-29,Hombre,bajo,Brasil,Master,Data Analyst,3-5 years,Energía/Minería,Startup,"Python, SQL, Javascript, Bash, MATLAB, Other"
1931,45-59,Hombre,alto,Canada,Master,Business Analyst,5-10 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL, Other"
1932,45-59,Mujes,bajo,Argentina,Grado Universitario,Business Analyst,< 1 years,Tecnológico,Multinacional, None
1933,45-59,Hombre,alto,España,Master,Business Analyst,3-5 years,Médico/farmacéutico,Startup," R, Other"
1934,30-44,Hombre,No sabe/No contesta,Estados Unidos,Master,Data Analyst,5-10 years,,No sabe/No contesta,Python
1935,18-29,Mujes,No sabe/No contesta,India,Bachillerato,Business Analyst,I have never written code,Ventas al por menor,Startup,No sabe/No contesta
1936,30-44,Hombre,bajo,Rusia,Master,Data Analyst,1-3 years,Envío/Transporte,Pequeña,"Python, SQL"
1937,30-44,Mujes,No sabe/No contesta,Estados Unidos,Master,Data Analyst,1-3 years,Médico/farmacéutico,Multinacional,"Python, R, SQL"
1938,18-29,Mujes,medio,Taiwan,Master,Data Analyst,1-3 years,Fabricación,Multinacional,"Python, SQL"
1939,18-29,Hombre,alto,Estados Unidos,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Ventas al por menor,Startup,"Python, SQL, Bash"
1940,18-29,Hombre,bajo,Austria,Master,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Multinacional," R, SQL, Javascript"
1941,30-44,Hombre,No sabe/No contesta,Otros,Prefiero no responder,Data Analyst,3-5 years,Gobierno/servicio público,Mediana,"Python, R, SQL"
1942,30-44,Hombre,medio,Chile,Master,Business Analyst,< 1 years,Envío/Transporte,Grande,"Python, R, SQL"
1943,30-44,Hombre,bajo,India,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional," R, SQL"
1944,18-29,Hombre,medio,Estados Unidos,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Pequeña,"Python, SQL, Javascript"
1945,18-29,Hombre,No sabe/No contesta,Argentina,Grado Universitario,Business Analyst,< 1 years,ONG/Servicio,Startup, SQL
1946,18-29,Hombre,No sabe/No contesta,India,Grado Universitario,Data Analyst,< 1 years,Otros,Startup,Python
1947,30-44,Hombre,bajo,Japon,Master,Data Analyst,< 1 years,Marketing/CRM,Pequeña,"Python, SQL"
1948,18-29,Hombre,bajo,Marruecos,Doctorado,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, MATLAB"
1949,30-44,Mujes,bajo,Rusia,Master,Business Analyst,< 1 years,Marketing/CRM,Pequeña,"Python, SQL"
1950,30-44,Mujes,alto,India,Master,Data Analyst,I have never written code,Contabilidad/Finanzas,Multinacional,No sabe/No contesta
1951,60-70+,Hombre,bajo,Argentina,Master,Data Analyst,10-20 years,Tecnológico,Grande,"Python, SQL, Other"
1952,18-29,Hombre,alto,Emiratos Arabes,Grado Universitario,Data Analyst,1-3 years,Gobierno/servicio público,Multinacional,Python
1953,18-29,Mujes,alto,Estados Unidos,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Mediana,"Python, R, SQL"
1954,30-44,Hombre,bajo,Colombia,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Grande," SQL, Java"
1955,30-44,Hombre,No sabe/No contesta,Chile,Grado Universitario,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
1956,18-29,Hombre,alto,Canada,Grado Universitario,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup, SQL
1957,30-44,Hombre,alto,Ucrania,Master,Business Analyst,1-3 years,Marketing/CRM,Grande,"Python, R, SQL"
1958,18-29,Mujes,No sabe/No contesta,Kenia,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Grande,"Python, R, SQL, Javascript"
1959,60-70+,Hombre,medio,Reino Unido,Grado Universitario,Business Analyst,20+ years,Envío/Transporte,Startup," R, SQL, Javascript"
1960,60-70+,Hombre,medio,Otros,Estudios Univertarios sin licenciatura,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Startup," SQL, Javascript"
1961,45-59,Hombre,bajo,Polonia,Estudios Univertarios sin licenciatura,Business Analyst,3-5 years,Energía/Minería,Startup,"Python, Javascript"
1962,18-29,Mujes,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, R, SQL, C, C++"
1963,30-44,Hombre,bajo,Emiratos Arabes,Master,Data Analyst,< 1 years,Ventas al por menor,Startup,"Python, SQL"
1964,18-29,Hombre,medio,Estados Unidos,Master,Business Analyst,< 1 years,Ventas al por menor,Grande,"Python, R, SQL"
1965,18-29,Hombre,bajo,China,Master,Data Analyst,< 1 years,Marketing/CRM,Mediana,Python
1966,30-44,Hombre,No sabe/No contesta,Estados Unidos,Grado Universitario,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL"
1967,30-44,Hombre,alto,Otros,Master,Business Analyst,10-20 years,Energía/Minería,Grande," R, SQL"
1968,18-29,Hombre,bajo,China,Estudios Univertarios sin licenciatura,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
1969,30-44,Hombre,alto,Brasil,Grado Universitario,Business Analyst,10-20 years,Gobierno/servicio público,Grande," R, C, C++, Java, Julia, Other"
1970,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Tecnológico,Grande,Python
1971,18-29,Mujes,No sabe/No contesta,Italia,Master,Data Analyst,1-3 years,Hostelería/Entretenimiento/Deportes,Mediana,Python
1972,45-59,Mujes,No sabe/No contesta,Taiwan,Master,Business Analyst,3-5 years,Contabilidad/Finanzas,Mediana," SQL, Javascript"
1973,30-44,Hombre,alto,Canada,Master,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
1974,18-29,Mujes,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,Otros,Startup,"Python, C, Java, Javascript"
1975,18-29,Hombre,alto,Bangladesh,Grado Universitario,Data Analyst,1-3 years,Tecnológico,Pequeña,Python
1976,18-29,Mujes,No sabe/No contesta,China,Master,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Pequeña,"Python, SQL"
1977,45-59,Mujes,alto,Estados Unidos,Grado Universitario,Business Analyst,I have never written code,Envío/Transporte,Multinacional,No sabe/No contesta
1978,45-59,Hombre,medio,Reino Unido,Master,Data Analyst,< 1 years,Médico/farmacéutico,Startup," R, SQL"
1979,30-44,Hombre,No sabe/No contesta,Grecia,Master,Data Analyst,< 1 years,Tecnológico,Startup,"Python, R, SQL"
1980,18-29,Hombre,medio,India,Master,Data Analyst,< 1 years,Ventas al por menor,Multinacional,"Python, SQL, Java"
1981,30-44,Hombre,No sabe/No contesta,Ecuador,Grado Universitario,Data Analyst,< 1 years,Gobierno/servicio público,Startup,"Python, SQL"
1982,30-44,Hombre,alto,Japon,Grado Universitario,Business Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, R, SQL"
